Calc. Date= 04-04-2023. Time= 17:32:29
============================== SRIM-2013.00 ==============================
 =====================================================================
 =                   Ion Energy vs Position File                     =
 =====================================================================
 =   AXIS DEFINITIONS: X=Depth. Y.Z= Lateral plane of target surface.=
 =   (If beam enters target at an angle. this tilt is in Y direction)=
 =   Shown are: Ion Number. Energy (keV). X. Y. Z Position           =
 ==================  CALCULATION   DATA  =============================
  Ion Data: Name. Mass.   Energy . Energy Interval
           Ca     040.00  800000keV    1000000eV
 =====================================================================
Ion       Energy     Depth (X)     Y           Z       Electronic   Energy Lost to
Number    (keV)    (Angstrom)  (Angstrom)  (Angstrom)  Stop.(eV/A)  Last Recoil(eV)
------- ----------- ---------- ----------- ----------- -----------  ---------------
0000001 8.0000E+05  0.0000E+00  0.0000E+00  0.0000E+00  1.3515E-01  0.0000E+00
0000001 7.9876E+05  7.9128E+06  2.4495E+02 -5.3202E+02  1.3530E-01  6.2429E+01
0000001 7.9788E+05  1.5086E+07  3.3409E+02 -1.1835E+03  1.3541E-01  7.7900E+00
0000001 7.9687E+05  2.2253E+07 -6.4421E+02 -9.4836E+02  1.3554E-01  6.3438E+01
0000001 7.9595E+05  2.9414E+07 -1.4145E+03 -2.1270E+03  1.3565E-01  7.7140E+00
0000001 7.9499E+05  3.6568E+07 -2.6049E+03 -3.1584E+03  1.3577E-01  4.7917E+01
0000001 7.9382E+05  4.5503E+07 -5.8628E+03 -4.4696E+03  1.3592E-01  4.7972E+02
0000001 7.9290E+05  5.2643E+07 -9.4865E+03 -8.9686E+03  1.3603E-01  9.0655E+00
0000001 7.9184E+05  5.9777E+07 -1.3010E+04 -1.4334E+04  1.3616E-01  8.0492E+00
0000001 7.9084E+05  6.6905E+07 -1.9362E+04 -2.3675E+04  1.3628E-01  6.2936E+00
0000001 7.8983E+05  7.4026E+07 -2.6563E+04 -3.2543E+04  1.3641E-01  4.3826E+00
0000001 7.8891E+05  8.1141E+07 -3.4179E+04 -4.1280E+04  1.3652E-01  1.2349E+03
0000001 7.8784E+05  8.8249E+07 -4.6071E+04 -5.5314E+04  1.3666E-01  3.3377E+00
0000001 7.8682E+05  9.5351E+07 -5.7868E+04 -6.9600E+04  1.3678E-01  4.0033E+00
0000001 7.8593E+05  1.0245E+08 -6.9992E+04 -8.4039E+04  1.3689E-01  4.7773E+00
0000001 7.8499E+05  1.0953E+08 -8.2306E+04 -9.7808E+04  1.3701E-01  3.8456E+00
0000001 7.8400E+05  1.1662E+08 -9.5302E+04 -1.1172E+05  1.3713E-01  4.8849E+01
0000001 7.8276E+05  1.2546E+08 -1.0961E+05 -1.2887E+05  1.3729E-01  6.8031E+01
0000001 7.8180E+05  1.3253E+08 -1.1954E+05 -1.4340E+05  1.3741E-01  5.7855E+00
0000001 7.8079E+05  1.3959E+08 -1.2973E+05 -1.5686E+05  1.3754E-01  7.2792E+00
0000001 7.7982E+05  1.4665E+08 -1.4000E+05 -1.6981E+05  1.3767E-01  1.3481E+01
0000001 7.7886E+05  1.5370E+08 -1.5004E+05 -1.8368E+05  1.3779E-01  1.0041E+01
0000001 7.7782E+05  1.6074E+08 -1.5964E+05 -1.9741E+05  1.3792E-01  1.1823E+01
0000001 7.7685E+05  1.6778E+08 -1.6905E+05 -2.1160E+05  1.3805E-01  3.7850E+01
0000001 7.7592E+05  1.7481E+08 -1.7928E+05 -2.2505E+05  1.3817E-01  1.6079E+01
0000001 7.7486E+05  1.8183E+08 -1.9107E+05 -2.3804E+05  1.3830E-01  3.1762E+01
0000001 7.7399E+05  1.8885E+08 -2.0307E+05 -2.5184E+05  1.3841E-01  5.4389E+00
0000001 7.7284E+05  1.9586E+08 -2.1600E+05 -2.6612E+05  1.3856E-01  9.9606E+00
0000001 7.7186E+05  2.0286E+08 -2.3099E+05 -2.7639E+05  1.3869E-01  2.7288E+02
