Calc. Date= 04-27-2023. Time= 14:42:37
============================== SRIM-2013.00 ==============================
 =====================================================================
 =                   Ion Energy vs Position File                     =
 =====================================================================
 =   AXIS DEFINITIONS: X=Depth. Y.Z= Lateral plane of target surface.=
 =   (If beam enters target at an angle. this tilt is in Y direction)=
 =   Shown are: Ion Number. Energy (keV). X. Y. Z Position           =
 ==================  CALCULATION   DATA  =============================
  Ion Data: Name. Mass.   Energy . Energy Interval
           Ca     040.00  800000keV    15686274eV
 =====================================================================
Ion       Energy     Depth (X)     Y           Z       Electronic   Energy Lost to
Number    (keV)    (Angstrom)  (Angstrom)  (Angstrom)  Stop.(eV/A)  Last Recoil(eV)
------- ----------- ---------- ----------- ----------- -----------  ---------------
0000001 8.0000E+05  0.0000E+00  0.0000E+00  0.0000E+00  1.3515E-01  0.0000E+00
0000001 7.8429E+05  1.1454E+08 -8.7485E+02 -4.0625E+04  1.3710E-01  2.1353E+01
0000001 7.6858E+05  2.2876E+08 -1.9222E+05 -8.5678E+04  1.3911E-01  4.9725E+00
0000001 7.5284E+05  3.4306E+08 -4.0247E+05  9.2751E+02  1.4118E-01  1.4421E+02
0000001 7.3714E+05  4.5393E+08 -6.3743E+05  1.3061E+05  1.4332E-01  2.8667E+01
0000001 7.2152E+05  5.6312E+08 -9.3655E+05  2.8324E+05  1.4551E-01  1.8989E+01
0000001 7.0569E+05  6.7060E+08 -1.2168E+06  4.1673E+05  1.4780E-01  9.5737E+00
0000001 6.8992E+05  7.7474E+08 -1.4788E+06  4.5280E+05  1.5015E-01  4.7941E+00
0000001 6.7438E+05  8.7718E+08 -1.8682E+06  5.5368E+05  1.5254E-01  3.8940E+00
0000001 6.5866E+05  9.8109E+08 -2.3165E+06  8.1266E+05  1.5503E-01  4.1090E+00
0000001 6.4294E+05  1.0817E+09 -2.7485E+06  1.0516E+06  1.5760E-01  1.5775E+02
0000001 6.2727E+05  1.1805E+09 -3.1873E+06  1.3416E+06  1.6024E-01  1.0389E+01
0000001 6.1156E+05  1.2776E+09 -3.6390E+06  1.7288E+06  1.6298E-01  1.9335E+01
0000001 5.9600E+05  1.3730E+09 -4.0914E+06  2.1481E+06  1.6578E-01  1.6963E+01
0000001 5.8032E+05  1.4665E+09 -4.4386E+06  2.5128E+06  1.6869E-01  5.5256E+00
0000001 5.6456E+05  1.5583E+09 -4.7321E+06  2.8741E+06  1.7171E-01  9.3173E+00
0000001 5.4879E+05  1.6483E+09 -5.0378E+06  3.0538E+06  1.7485E-01  1.3056E+01
0000001 5.3327E+05  1.7351E+09 -5.3609E+06  3.1790E+06  1.7805E-01  3.9068E+01
0000001 5.1760E+05  1.8228E+09 -5.7762E+06  3.1842E+06  1.8140E-01  3.1450E+01
0000001 5.0184E+05  1.9087E+09 -6.1701E+06  3.0609E+06  1.8489E-01  5.6531E+00
0000001 4.8613E+05  1.9926E+09 -6.6149E+06  2.9208E+06  1.8851E-01  8.4170E+00
0000001 4.7037E+05  2.0759E+09 -7.0460E+06  2.8515E+06  1.9230E-01  5.2342E+00
0000001 4.5486E+05  2.1573E+09 -7.4271E+06  2.8000E+06  1.9618E-01  2.0756E+03
0000001 4.3900E+05  2.2367E+09 -7.7949E+06  2.7273E+06  2.0033E-01  6.1117E+01
0000001 4.2326E+05  2.3153E+09 -8.1901E+06  2.6289E+06  2.0464E-01  5.5609E+00
0000001 4.0768E+05  2.3941E+09 -8.5442E+06  2.5842E+06  2.0912E-01  1.1548E+01
0000001 3.9216E+05  2.4687E+09 -8.8990E+06  2.4711E+06  2.1381E-01  2.9073E+00
0000001 3.7635E+05  2.5424E+09 -9.2388E+06  2.4289E+06  2.1884E-01  8.7483E+00
0000001 3.6067E+05  2.6128E+09 -9.5666E+06  2.4298E+06  2.2412E-01  9.3205E+00
0000001 3.4505E+05  2.6822E+09 -9.8994E+06  2.4780E+06  2.2968E-01  6.2169E+00
0000001 3.2926E+05  2.7494E+09 -1.0273E+07  2.5683E+06  2.3567E-01  1.3379E+01
0000001 3.1366E+05  2.8136E+09 -1.0691E+07  2.6800E+06  2.4197E-01  5.0140E+01
0000001 2.9801E+05  2.8774E+09 -1.1123E+07  2.8342E+06  2.4872E-01  7.9050E+00
0000001 2.8228E+05  2.9389E+09 -1.1540E+07  2.9719E+06  2.5600E-01  2.7820E+02
0000001 2.6644E+05  2.9998E+09 -1.2012E+07  3.1187E+06  2.6389E-01  1.0119E+01
0000001 2.5088E+05  3.0575E+09 -1.2443E+07  3.3333E+06  2.7225E-01  1.4169E+01
0000001 2.3524E+05  3.1152E+09 -1.2783E+07  3.3489E+06  2.8134E-01  2.0431E+01
0000001 2.1951E+05  3.1710E+09 -1.3153E+07  3.4014E+06  2.9124E-01  1.5991E+01
0000001 2.0384E+05  3.2236E+09 -1.3467E+07  3.5073E+06  3.0197E-01  4.4402E+00
0000001 1.8808E+05  3.2741E+09 -1.3753E+07  3.6561E+06  3.1370E-01  6.5069E+01
0000001 1.7241E+05  3.3233E+09 -1.4088E+07  3.9471E+06  3.2636E-01  1.5855E+02
0000001 1.5664E+05  3.3707E+09 -1.4520E+07  4.3992E+06  3.4019E-01  4.7042E+01
0000001 1.4112E+05  3.4157E+09 -1.4924E+07  4.8546E+06  3.5486E-01  4.6284E+00
0000001 1.2542E+05  3.4586E+09 -1.5348E+07  5.2495E+06  3.7070E-01  9.0513E+00
0000001 1.0965E+05  3.5005E+09 -1.5828E+07  5.6570E+06  3.8737E-01  7.1601E+00
0000001 9.4028E+04  3.5409E+09 -1.6285E+07  6.1047E+06  4.0502E-01  2.1789E+01
0000001 7.8398E+04  3.5789E+09 -1.6722E+07  6.7757E+06  4.2104E-01  1.1228E+01
0000001 6.2611E+04  3.6155E+09 -1.7104E+07  7.4556E+06  4.3682E-01  7.3116E+01
0000001 4.6969E+04  3.6509E+09 -1.7347E+07  8.0497E+06  4.4630E-01  7.4523E+01
0000001 3.1350E+04  3.6855E+09 -1.7918E+07  8.8919E+06  4.4108E-01  5.7354E+02
0000001 1.5683E+04  3.7223E+09 -1.8196E+07  9.4990E+06  3.9307E-01  1.8615E+02
0000001 0.0000E+00  3.7956E+09 -2.0636E+07  1.0295E+07  0.0000E+00  4.7051E+00
