Calc. Date= 04-26-2023. Time= 11:44:04
============================== SRIM-2013.00 ==============================
 =====================================================================
 =                   Ion Energy vs Position File                     =
 =====================================================================
 =   AXIS DEFINITIONS: X=Depth. Y.Z= Lateral plane of target surface.=
 =   (If beam enters target at an angle. this tilt is in Y direction)=
 =   Shown are: Ion Number. Energy (keV). X. Y. Z Position           =
 ==================  CALCULATION   DATA  =============================
  Ion Data: Name. Mass.   Energy . Energy Interval
           He     004.00  5400keV    100000eV
 =====================================================================
Ion       Energy     Depth (X)     Y           Z       Electronic   Energy Lost to
Number    (keV)    (Angstrom)  (Angstrom)  (Angstrom)  Stop.(eV/A)  Last Recoil(eV)
------- ----------- ---------- ----------- ----------- -----------  ---------------
0000001 5.4000E+03  0.0000E+00  0.0000E+00  0.0000E+00  1.1845E-02  0.0000E+00
0000001 5.2527E+03  1.2309E+07 -5.9319E+03 -5.8137E+03  1.2077E-02  9.5119E+00
0000001 5.1720E+03  1.9129E+07 -2.3393E+04 -2.8998E+04  1.2208E-02  2.4057E+01
0000001 5.0871E+03  2.5864E+07 -1.8548E+04 -6.3958E+04  1.2349E-02  5.9346E+00
0000001 4.9362E+03  3.9071E+07  2.3234E+04 -1.4755E+05  1.2609E-02  3.0776E+01
0000001 4.8626E+03  4.5555E+07  1.9897E+04 -2.0754E+05  1.2740E-02  9.2867E+00
0000001 4.7792E+03  5.1959E+07  1.1626E+04 -2.5229E+05  1.2893E-02  8.9593E+01
0000001 4.6282E+03  6.4510E+07  7.3948E+04 -2.3703E+05  1.3178E-02  1.7989E+01
0000001 4.5465E+03  7.0664E+07  9.9819E+04 -2.4523E+05  1.3339E-02  1.5632E+01
0000001 4.4636E+03  7.6729E+07  1.4618E+05 -2.6617E+05  1.3506E-02  1.8699E+01
0000001 4.3831E+03  8.2704E+07  1.7285E+05 -3.0549E+05  1.3673E-02  5.9347E+01
0000001 4.2983E+03  8.8591E+07  2.4630E+05 -3.4607E+05  1.3853E-02  3.3986E+00
0000001 4.1328E+03  1.0009E+08  3.8411E+05 -3.9981E+05  1.4219E-02  7.3236E+00
0000001 4.0594E+03  1.0570E+08  4.3001E+05 -4.2412E+05  1.4389E-02  3.1260E+00
0000001 3.9873E+03  1.1124E+08  4.6470E+05 -4.4877E+05  1.4559E-02  3.3676E+00
0000001 3.8256E+03  1.2206E+08  5.5164E+05 -5.1143E+05  1.4958E-02  1.2646E+01
0000001 3.7529E+03  1.2733E+08  5.9220E+05 -5.2794E+05  1.5144E-02  5.4728E+00
0000001 3.6709E+03  1.3253E+08  6.2233E+05 -5.3948E+05  1.5361E-02  4.4933E+00
0000001 3.5861E+03  1.3763E+08  6.6270E+05 -5.5679E+05  1.5591E-02  6.0526E+00
0000001 3.4387E+03  1.4757E+08  7.5700E+05 -6.0754E+05  1.6010E-02  3.5677E+00
0000001 3.3565E+03  1.5241E+08  7.9537E+05 -6.2700E+05  1.6253E-02  1.2593E+01
0000001 3.2753E+03  1.5716E+08  8.3377E+05 -6.2604E+05  1.6501E-02  4.1863E+01
0000001 3.1917E+03  1.6182E+08  8.8496E+05 -5.9961E+05  1.6764E-02  1.1815E+01
0000001 3.0437E+03  1.7086E+08  9.9912E+05 -6.0267E+05  1.7251E-02  4.6001E+00
0000001 2.9748E+03  1.7525E+08  1.0627E+06 -6.0903E+05  1.7488E-02  3.1848E+00
0000001 2.8325E+03  1.8380E+08  1.1720E+06 -6.1298E+05  1.7997E-02  9.5175E+00
0000001 2.7620E+03  1.8795E+08  1.2191E+06 -6.3428E+05  1.8259E-02  5.1145E+00
0000001 2.6945E+03  1.9202E+08  1.2539E+06 -6.5882E+05  1.8518E-02  1.0650E+01
0000001 2.5466E+03  1.9991E+08  1.3399E+06 -6.6721E+05  1.9108E-02  4.3601E+00
0000001 2.4671E+03  2.0372E+08  1.3950E+06 -6.6698E+05  1.9439E-02  1.1948E+02
0000001 2.3995E+03  2.0745E+08  1.3956E+06 -6.8611E+05  1.9729E-02  3.1647E+01
0000001 2.2497E+03  2.1463E+08  1.4516E+06 -7.3150E+05  2.0398E-02  1.5257E+01
