Calc. Date= 04-27-2023. Time= 14:01:30
============================== SRIM-2013.00 ==============================
 =====================================================================
 =                   Ion Energy vs Position File                     =
 =====================================================================
 =   AXIS DEFINITIONS: X=Depth. Y.Z= Lateral plane of target surface.=
 =   (If beam enters target at an angle. this tilt is in Y direction)=
 =   Shown are: Ion Number. Energy (keV). X. Y. Z Position           =
 ==================  CALCULATION   DATA  =============================
  Ion Data: Name. Mass.   Energy . Energy Interval
           Sr     080.00  1200000keV    23529411eV
 =====================================================================
Ion       Energy     Depth (X)     Y           Z       Electronic   Energy Lost to
Number    (keV)    (Angstrom)  (Angstrom)  (Angstrom)  Stop.(eV/A)  Last Recoil(eV)
------- ----------- ---------- ----------- ----------- -----------  ---------------
0000001 1.2000E+06  0.0000E+00  0.0000E+00  0.0000E+00  5.1093E-01  0.0000E+00
0000001 1.1764E+06  4.6362E+07 -6.8167E+03 -1.1301E+04  5.1658E-01  3.7168E+00
0000001 1.1529E+06  9.2843E+07 -2.8223E+04 -4.7443E+04  5.2231E-01  3.1628E+01
0000001 1.1292E+06  1.3746E+08 -3.1170E+05  2.5225E+05  5.2819E-01  7.3033E+00
0000001 1.1058E+06  1.8208E+08 -6.6316E+05  6.2292E+05  5.3411E-01  6.1025E+00
0000001 1.0820E+06  2.2610E+08 -9.9652E+05  9.8270E+05  5.4021E-01  9.0071E+00
0000001 1.0586E+06  2.7009E+08 -1.3229E+06  1.3798E+06  5.4634E-01  2.1634E+02
0000001 1.0350E+06  3.1346E+08 -1.6456E+06  1.8413E+06  5.5263E-01  9.9778E+01
0000001 1.0117E+06  3.5561E+08 -1.9694E+06  2.3743E+06  5.5898E-01  1.5464E+01
0000001 9.8818E+05  3.9771E+08 -2.2900E+06  2.8869E+06  5.6550E-01  4.9373E+00
0000001 9.6454E+05  4.3973E+08 -2.6150E+06  3.4016E+06  5.7219E-01  1.0642E+01
0000001 9.4090E+05  4.7998E+08 -2.9310E+06  3.8841E+06  5.7901E-01  6.3958E+00
0000001 9.1749E+05  5.2068E+08 -3.2679E+06  4.3800E+06  5.8590E-01  5.2437E+03
0000001 8.9407E+05  5.5965E+08 -3.6078E+06  4.8862E+06  5.9295E-01  4.7595E+00
0000001 8.7056E+05  5.9903E+08 -3.9752E+06  5.3908E+06  6.0019E-01  6.5118E+00
0000001 8.4693E+05  6.3772E+08 -4.3514E+06  5.8797E+06  6.0762E-01  1.0621E+01
0000001 8.2346E+05  6.7574E+08 -4.7072E+06  6.3626E+06  6.1518E-01  6.8863E+00
0000001 7.9994E+05  7.1406E+08 -5.0481E+06  6.8465E+06  6.2295E-01  1.0720E+01
0000001 7.7621E+05  7.5216E+08 -5.3580E+06  7.3174E+06  6.3098E-01  9.2167E+00
0000001 7.5286E+05  7.8906E+08 -5.6326E+06  7.7675E+06  6.3909E-01  5.9315E+00
0000001 7.2928E+05  8.2571E+08 -5.8747E+06  8.1817E+06  6.4750E-01  1.4557E+01
0000001 7.0564E+05  8.6162E+08 -6.1010E+06  8.6065E+06  6.5618E-01  2.3064E+01
0000001 6.8227E+05  8.9677E+08 -6.3340E+06  9.0017E+06  6.6499E-01  1.2598E+01
0000001 6.5867E+05  9.3250E+08 -6.5804E+06  9.3787E+06  6.7417E-01  7.9933E+00
0000001 6.3511E+05  9.6744E+08 -6.8034E+06  9.7146E+06  6.8361E-01  4.1451E+00
0000001 6.1176E+05  1.0012E+09 -7.0269E+06  1.0036E+07  6.9326E-01  1.4748E+01
0000001 5.8809E+05  1.0357E+09 -7.2457E+06  1.0353E+07  7.0335E-01  5.4432E+00
0000001 5.6462E+05  1.0690E+09 -7.4140E+06  1.0647E+07  7.1369E-01  3.2089E+01
0000001 5.4091E+05  1.1023E+09 -7.5903E+06  1.0989E+07  7.2448E-01  6.1809E+01
0000001 5.1746E+05  1.1346E+09 -7.7648E+06  1.1310E+07  7.3551E-01  1.7462E+01
0000001 4.9406E+05  1.1657E+09 -7.9167E+06  1.1616E+07  7.4687E-01  2.4560E+01
0000001 4.7038E+05  1.1973E+09 -8.0399E+06  1.1889E+07  7.5873E-01  5.4922E+00
0000001 4.4704E+05  1.2277E+09 -8.1046E+06  1.2159E+07  7.7076E-01  7.5517E+00
0000001 4.2331E+05  1.2581E+09 -8.1278E+06  1.2460E+07  7.8332E-01  3.8796E+01
0000001 3.9978E+05  1.2877E+09 -8.2148E+06  1.2725E+07  7.9607E-01  8.5827E+00
0000001 3.7621E+05  1.3170E+09 -8.2622E+06  1.2897E+07  8.0906E-01  5.4087E+00
0000001 3.5284E+05  1.3455E+09 -8.3153E+06  1.3078E+07  8.2204E-01  1.2340E+01
0000001 3.2924E+05  1.3738E+09 -8.3776E+06  1.3268E+07  8.3511E-01  2.2617E+01
0000001 3.0570E+05  1.4017E+09 -8.5401E+06  1.3517E+07  8.4787E-01  5.0760E+00
0000001 2.8229E+05  1.4289E+09 -8.6662E+06  1.3840E+07  8.5997E-01  8.3957E+00
0000001 2.5878E+05  1.4563E+09 -8.8181E+06  1.4168E+07  8.7105E-01  1.5864E+01
0000001 2.3515E+05  1.4835E+09 -8.9855E+06  1.4468E+07  8.8049E-01  3.3129E+01
0000001 2.1158E+05  1.5102E+09 -9.1208E+06  1.4791E+07  8.8727E-01  1.2552E+01
0000001 1.8822E+05  1.5366E+09 -9.2541E+06  1.5194E+07  8.9207E-01  4.2495E+02
0000001 1.6456E+05  1.5631E+09 -9.3935E+06  1.5608E+07  8.9104E-01  5.3509E+00
0000001 1.4106E+05  1.5896E+09 -9.6505E+06  1.6060E+07  8.8143E-01  8.9848E+00
0000001 1.1760E+05  1.6164E+09 -9.9569E+06  1.6656E+07  8.6374E-01  1.2438E+01
0000001 9.4082E+04  1.6440E+09 -1.0347E+07  1.7211E+07  8.3072E-01  3.2394E+01
0000001 7.0497E+04  1.6735E+09 -1.0829E+07  1.7884E+07  7.7598E-01  2.3924E+01
0000001 4.7003E+04  1.7045E+09 -1.1208E+07  1.8833E+07  6.9027E-01  4.1797E+01
0000001 2.3523E+04  1.7423E+09 -1.2088E+07  2.0102E+07  5.3649E-01  2.1656E+02
0000001 0.0000E+00  1.8362E+09 -1.1271E+07  1.4427E+07  0.0000E+00  2.5404E-01
